Comunity,Age,Population
PAÍS VASCO,0-9 years,201839
PAÍS VASCO,10-19 years,201895
PAÍS VASCO,20-29 years,193003
PAÍS VASCO,30-39 years,279092
PAÍS VASCO,40-49 years,360244
PAÍS VASCO,50-59 years,335998
PAÍS VASCO,60-69 years,271747
PAÍS VASCO,70-79 years,195629
PAÍS VASCO,80+ years,159641
NAVARRA,0-9 years,66597
NAVARRA,10-19 years,67462
NAVARRA,20-29 years,64807
NAVARRA,30-39 years,8518
NAVARRA,40-49 years,106534
NAVARRA,50-59 years,92801
NAVARRA,60-69 years,7121
NAVARRA,70-79 years,51123
NAVARRA,80+ years,4184
MURCIA,0-9 years,169123
MURCIA,10-19 years,171219
MURCIA,20-29 years,168156
MURCIA,30-39 years,219469
MURCIA,40-49 years,24707
MURCIA,50-59 years,202024
MURCIA,60-69 years,136375
MURCIA,70-79 years,95587
MURCIA,80+ years,69486
MELILLA,0-9 years,13957
MELILLA,10-19 years,11815
MELILLA,20-29 years,11844
MELILLA,30-39 years,12728
MELILLA,40-49 years,11951
MELILLA,50-59 years,11239
MELILLA,60-69 years,6917
MELILLA,70-79 years,3582
MELILLA,80+ years,2351
MADRID,0-9 years,675493
MADRID,10-19 years,658881
MADRID,20-29 years,697851
MADRID,30-39 years,975601
MADRID,40-49 years,1135784
MADRID,50-59 years,922719
MADRID,60-69 years,675339
MADRID,70-79 years,475796
MADRID,80+ years,360615
LA RIOJA,0-9 years,30264
LA RIOJA,10-19 years,30735
LA RIOJA,20-29 years,30009
LA RIOJA,30-39 years,41799
LA RIOJA,40-49 years,51739
LA RIOJA,50-59 years,46467
LA RIOJA,60-69 years,35872
LA RIOJA,70-79 years,25723
LA RIOJA,80+ years,23067
ILLES BALEARS,0-9 years,113904
ILLES BALEARS,10-19 years,114178
ILLES BALEARS,20-29 years,130724
ILLES BALEARS,30-39 years,182816
ILLES BALEARS,40-49 years,19701
ILLES BALEARS,50-59 years,155835
ILLES BALEARS,60-69 years,111714
ILLES BALEARS,70-79 years,73524
ILLES BALEARS,80+ years,49203
GALICIA,0-9 years,210228
GALICIA,10-19 years,218906
GALICIA,20-29 years,236844
GALICIA,30-39 years,352982
GALICIA,40-49 years,438209
GALICIA,50-59 years,396383
GALICIA,60-69 years,340483
GALICIA,70-79 years,268916
GALICIA,80+ years,238792
EXTREMADURA,0-9 years,94545
EXTREMADURA,10-19 years,105973
EXTREMADURA,20-29 years,119844
EXTREMADURA,30-39 years,140362
EXTREMADURA,40-49 years,162558
EXTREMADURA,50-59 years,167332
EXTREMADURA,60-69 years,11748
EXTREMADURA,70-79 years,86654
EXTREMADURA,80+ years,78115
COMUNITAT VALENCIANA,0-9 years,477405
COMUNITAT VALENCIANA,10-19 years,508134
COMUNITAT VALENCIANA,20-29 years,504725
COMUNITAT VALENCIANA,30-39 years,685425
COMUNITAT VALENCIANA,40-49 years,832621
COMUNITAT VALENCIANA,50-59 years,720839
COMUNITAT VALENCIANA,60-69 years,552264
COMUNITAT VALENCIANA,70-79 years,404881
COMUNITAT VALENCIANA,80+ years,277409
CEUTA,0-9 years,11725
CEUTA,10-19 years,11398
CEUTA,20-29 years,11211
CEUTA,30-39 years,12565
CEUTA,40-49 years,12728
CEUTA,50-59 years,11564
CEUTA,60-69 years,7155
CEUTA,70-79 years,4231
CEUTA,80+ years,2567
CATALUÑA,0-9 years,767245
CATALUÑA,10-19 years,781193
CATALUÑA,20-29 years,791235
CATALUÑA,30-39 years,1080115
CATALUÑA,40-49 years,1281578
CATALUÑA,50-59 years,1050318
CATALUÑA,60-69 years,812608
CATALUÑA,70-79 years,575307
CATALUÑA,80+ years,460466
CASTILLA Y LEÓN,0-9 years,18543
CASTILLA Y LEÓN,10-19 years,20257
CASTILLA Y LEÓN,20-29 years,216105
CASTILLA Y LEÓN,30-39 years,290528
CASTILLA Y LEÓN,40-49 years,368296
CASTILLA Y LEÓN,50-59 years,37982
CASTILLA Y LEÓN,60-69 years,305912
CASTILLA Y LEÓN,70-79 years,229058
CASTILLA Y LEÓN,80+ years,231445
CASTILLA - LA MANCHA,0-9 years,19934
CASTILLA - LA MANCHA,10-19 years,211809
CASTILLA - LA MANCHA,20-29 years,219662
CASTILLA - LA MANCHA,30-39 years,280759
CASTILLA - LA MANCHA,40-49 years,326611
CASTILLA - LA MANCHA,50-59 years,296875
CASTILLA - LA MANCHA,60-69 years,203721
CASTILLA - LA MANCHA,70-79 years,147051
CASTILLA - LA MANCHA,80+ years,140979
CANTABRIA,0-9 years,50227
CANTABRIA,10-19 years,52633
CANTABRIA,20-29 years,50731
CANTABRIA,30-39 years,7733
CANTABRIA,40-49 years,96139
CANTABRIA,50-59 years,89239
CANTABRIA,60-69 years,73898
CANTABRIA,70-79 years,47724
CANTABRIA,80+ years,42308
CANARIAS,0-9 years,180135
CANARIAS,10-19 years,21852
CANARIAS,20-29 years,248212
CANARIAS,30-39 years,318973
CANARIAS,40-49 years,383971
CANARIAS,50-59 years,326973
CANARIAS,60-69 years,219603
CANARIAS,70-79 years,142881
CANARIAS,80+ years,88417
ASTURIAS,0-9 years,72742
ASTURIAS,10-19 years,77932
ASTURIAS,20-29 years,81723
ASTURIAS,30-39 years,12763
ASTURIAS,40-49 years,167072
ASTURIAS,50-59 years,164367
ASTURIAS,60-69 years,145945
ASTURIAS,70-79 years,99724
ASTURIAS,80+ years,91109
ARAGÓN,0-9 years,120663
ARAGÓN,10-19 years,123467
ARAGÓN,20-29 years,127006
ARAGÓN,30-39 years,17129
ARAGÓN,40-49 years,210986
ARAGÓN,50-59 years,192983
ARAGÓN,60-69 years,149768
ARAGÓN,70-79 years,109956
ARAGÓN,80+ years,102609
ANDALUCÍA,0-9 years,859862
ANDALUCÍA,10-19 years,918767
ANDALUCÍA,20-29 years,941618
ANDALUCÍA,30-39 years,1199122
ANDALUCÍA,40-49 years,1369867
ANDALUCÍA,50-59 years,1218853
ANDALUCÍA,60-69 years,862578
ANDALUCÍA,70-79 years,602565
ANDALUCÍA,80+ years,411176
AGUASCALIENTES,0-9 years,253498
AGUASCALIENTES,10-19 years,263551
AGUASCALIENTES,20-29 years,22571
AGUASCALIENTES,30-39 years,18575
AGUASCALIENTES,40-49 years,159277
AGUASCALIENTES,50-59 years,11104
AGUASCALIENTES,60-69 years,64802
AGUASCALIENTES,70+ years,48207