Comunity,Gender,Population
PAÍS VASCO,Males,1073074
PAÍS VASCO,Females,1134702
NAVARRA,Males,323631
NAVARRA,Females,330583
MURCIA,Males,"747,615"
MURCIA,Females,"746,283"
MELILLA,Males,43894
MELILLA,Females,42593
MADRID,Males,3187312
MADRID,Females,3476082
LA RIOJA,Males,156179
LA RIOJA,Females,160619
ILLES BALEARS,Males,572757
ILLES BALEARS,Females,576703
GALICIA,Males,1298964
GALICIA,Females,1400535
EXTREMADURA,Males,5285
EXTREMADURA,Females,53921
COMUNITAT VALENCIANA,Males,2465342
COMUNITAT VALENCIANA,Females,2538427
CEUTA,Males,42912
CEUTA,Females,41865
CATALUÑA,Males,3770123
CATALUÑA,Females,3905094
CASTILLA Y LEÓN,Males,1181401
CASTILLA Y LEÓN,Females,1218147
CASTILLA - LA MANCHA,Males,1016954
CASTILLA - LA MANCHA,Females,1015909
CANTABRIA,Males,281801
CANTABRIA,Females,299277
CANARIAS,Males,1065971
CANARIAS,Females,1087418
ASTURIAS,Males,488137
ASTURIAS,Females,534663
ARAGÓN,Males,650694
ARAGÓN,Females,668597
ANDALUCÍA,Males,4147167
ANDALUCÍA,Females,4267073
AGUASCALIENTES,Males,640091
AGUASCALIENTES,Females,672453